200,8000,{(-0.4;-0.5);(0.1;-1)},930824
200,8000,{(-0.4;-0.6);(-0.2;-0.8)},462564
200,8000,{(-0.24;-0.64);(-0.26;-0.66)},261737
400,1,{(-1.72;1.2);(1;-1.2)},27452
400,1,{(-0.7;0);(0.3;-1)},27106
400,1,{(-0.4;-0.5);(0.1;-1)},26980
400,1,{(-0.4;-0.6);(-0.2;-0.8)},27885
400,1,{(-0.24;-0.64);(-0.26;-0.66)},27290
400,10,{(-1.72;1.2);(1;-1.2)},33972
400,10,{(-0.7;0);(0.3;-1)},38513
400,10,{(-0.4;-0.5);(0.1;-1)},38514
400,10,{(-0.4;-0.6);(-0.2;-0.8)},38646
400,10,{(-0.24;-0.64);(-0.26;-0.66)},42351
400,30,{(-1.72;1.2);(1;-1.2)},41095
400,30,{(-0.7;0);(0.3;-1)},56995
400,30,{(-0.4;-0.5);(0.1;-1)},49455
400,30,{(-0.4;-0.6);(-0.2;-0.8)},48772
400,30,{(-0.24;-0.64);(-0.26;-0.66)},60491
400,80,{(-1.72;1.2);(1;-1.2)},54528
400,80,{(-0.7;0);(0.3;-1)},92830
400,80,{(-0.4;-0.5);(0.1;-1)},75632
400,80,{(-0.4;-0.6);(-0.2;-0.8)},65892
400,80,{(-0.24;-0.64);(-0.26;-0.66)},93744
400,150,{(-1.72;1.2);(1;-1.2)},74220
400,150,{(-0.7;0);(0.3;-1)},139296
400,150,{(-0.4;-0.5);(0.1;-1)},113358
400,150,{(-0.4;-0.6);(-0.2;-0.8)},86086
400,150,{(-0.24;-0.64);(-0.26;-0.66)},120535
400,250,{(-1.72;1.2);(1;-1.2)},105529
400,250,{(-0.7;0);(0.3;-1)},210755
400,250,{(-0.4;-0.5);(0.1;-1)},168182
400,250,{(-0.4;-0.6);(-0.2;-0.8)},113874
400,250,{(-0.24;-0.64);(-0.26;-0.66)},156568
400,500,{(-1.72;1.2);(1;-1.2)},166486
400,500,{(-0.7;0);(0.3;-1)},394723
400,500,{(-0.4;-0.5);(0.1;-1)},272267
400,500,{(-0.4;-0.6);(-0.2;-0.8)},168706
400,500,{(-0.24;-0.64);(-0.26;-0.66)},185983
400,1000,{(-1.72;1.2);(1;-1.2)},298782
400,1000,{(-0.7;0);(0.3;-1)},733340
400,1000,{(-0.4;-0.5);(0.1;-1)},504148
400,1000,{(-0.4;-0.6);(-0.2;-0.8)},284049
400,1000,{(-0.24;-0.64);(-0.26;-0.66)},253236
400,2000,{(-1.72;1.2);(1;-1.2)},577810
400,2000,{(-0.7;0);(0.3;-1)},1469321
400,2000,{(-0.4;-0.5);(0.1;-1)},963622
400,2000,{(-0.4;-0.6);(-0.2;-0.8)},510855
400,2000,{(-0.24;-0.64);(-0.26;-0.66)},370762
400,8000,{(-1.72;1.2);(1;-1.2)},2205133
400,8000,{(-0.7;0);(0.3;-1)},5794891
400,8000,{(-0.4;-0.5);(0.1;-1)},3734383
400,8000,{(-0.4;-0.6);(-0.2;-0.8)},1844780
400,8000,{(-0.24;-0.64);(-0.26;-0.66)},1053035
800,1,{(-1.72;1.2);(1;-1.2)},117444
800,1,{(-0.7;0);(0.3;-1)},122085
800,1,{(-0.4;-0.5);(0.1;-1)},112981
800,1,{(-0.4;-0.6);(-0.2;-0.8)},112239
800,1,{(-0.24;-0.64);(-0.26;-0.66)},114016
800,10,{(-1.72;1.2);(1;-1.2)},146144
800,10,{(-0.7;0);(0.3;-1)},157220
800,10,{(-0.4;-0.5);(0.1;-1)},156281
800,10,{(-0.4;-0.6);(-0.2;-0.8)},159729
800,10,{(-0.24;-0.64);(-0.26;-0.66)},164414
800,30,{(-1.72;1.2);(1;-1.2)},162731
800,30,{(-0.7;0);(0.3;-1)},215803
800,30,{(-0.4;-0.5);(0.1;-1)},209748
800,30,{(-0.4;-0.6);(-0.2;-0.8)},198085
800,30,{(-0.24;-0.64);(-0.26;-0.66)},252595
800,80,{(-1.72;1.2);(1;-1.2)},220368
800,80,{(-0.7;0);(0.3;-1)},365576
800,80,{(-0.4;-0.5);(0.1;-1)},311509
800,80,{(-0.4;-0.6);(-0.2;-0.8)},264683
800,80,{(-0.24;-0.64);(-0.26;-0.66)},370468
800,150,{(-1.72;1.2);(1;-1.2)},303351
800,150,{(-0.7;0);(0.3;-1)},571811
800,150,{(-0.4;-0.5);(0.1;-1)},452768
800,150,{(-0.4;-0.6);(-0.2;-0.8)},342707
800,150,{(-0.24;-0.64);(-0.26;-0.66)},483676
800,250,{(-1.72;1.2);(1;-1.2)},416843
800,250,{(-0.7;0);(0.3;-1)},869375
800,250,{(-0.4;-0.5);(0.1;-1)},644183
800,250,{(-0.4;-0.6);(-0.2;-0.8)},440814
800,250,{(-0.24;-0.64);(-0.26;-0.66)},581369
800,500,{(-1.72;1.2);(1;-1.2)},699376
800,500,{(-0.7;0);(0.3;-1)},1580790
800,500,{(-0.4;-0.5);(0.1;-1)},1115012
800,500,{(-0.4;-0.6);(-0.2;-0.8)},693638
800,500,{(-0.24;-0.64);(-0.26;-0.66)},761058
800,1000,{(-1.72;1.2);(1;-1.2)},1201158
800,1000,{(-0.7;0);(0.3;-1)},2945827
800,1000,{(-0.4;-0.5);(0.1;-1)},2024862
800,1000,{(-0.4;-0.6);(-0.2;-0.8)},1162713
800,1000,{(-0.24;-0.64);(-0.26;-0.66)},1009698
800,2000,{(-1.72;1.2);(1;-1.2)},2262596
800,2000,{(-0.7;0);(0.3;-1)},5851015
800,2000,{(-0.4;-0.5);(0.1;-1)},3916694
800,2000,{(-0.4;-0.6);(-0.2;-0.8)},2083261
800,2000,{(-0.24;-0.64);(-0.26;-0.66)},1516325
800,8000,{(-1.72;1.2);(1;-1.2)},8824550
800,8000,{(-0.7;0);(0.3;-1)},22907611
800,8000,{(-0.4;-0.5);(0.1;-1)},14967431
800,8000,{(-0.4;-0.6);(-0.2;-0.8)},7180123
800,8000,{(-0.24;-0.64);(-0.26;-0.66)},4068498
1200,1,{(-1.72;1.2);(1;-1.2)},264257
1200,1,{(-0.7;0);(0.3;-1)},258264
1200,1,{(-0.4;-0.5);(0.1;-1)},258061
1200,1,{(-0.4;-0.6);(-0.2;-0.8)},259021
1200,1,{(-0.24;-0.64);(-0.26;-0.66)},257836
1200,10,{(-1.72;1.2);(1;-1.2)},317527
1200,10,{(-0.7;0);(0.3;-1)},348810
1200,10,{(-0.4;-0.5);(0.1;-1)},348698
1200,10,{(-0.4;-0.6);(-0.2;-0.8)},356822
1200,10,{(-0.24;-0.64);(-0.26;-0.66)},360712
1200,30,{(-1.72;1.2);(1;-1.2)},368336
1200,30,{(-0.7;0);(0.3;-1)},488883
1200,30,{(-0.4;-0.5);(0.1;-1)},459756
1200,30,{(-0.4;-0.6);(-0.2;-0.8)},447292
1200,30,{(-0.24;-0.64);(-0.26;-0.66)},555686
1200,80,{(-1.72;1.2);(1;-1.2)},493002
1200,80,{(-0.7;0);(0.3;-1)},808634
1200,80,{(-0.4;-0.5);(0.1;-1)},680629
1200,80,{(-0.4;-0.6);(-0.2;-0.8)},587637
1200,80,{(-0.24;-0.64);(-0.26;-0.66)},807964
1200,150,{(-1.72;1.2);(1;-1.2)},665926
1200,150,{(-0.7;0);(0.3;-1)},1253311
1200,150,{(-0.4;-0.5);(0.1;-1)},981849
1200,150,{(-0.4;-0.6);(-0.2;-0.8)},761713
1200,150,{(-0.24;-0.64);(-0.26;-0.66)},1054734
1200,250,{(-1.72;1.2);(1;-1.2)},908942
1200,250,{(-0.7;0);(0.3;-1)},1897744
1200,250,{(-0.4;-0.5);(0.1;-1)},1408932
1200,250,{(-0.4;-0.6);(-0.2;-0.8)},984739
1200,250,{(-0.24;-0.64);(-0.26;-0.66)},1283419
1200,500,{(-1.72;1.2);(1;-1.2)},1504721
1200,500,{(-0.7;0);(0.3;-1)},3453182
1200,500,{(-0.4;-0.5);(0.1;-1)},2429801
1200,500,{(-0.4;-0.6);(-0.2;-0.8)},1502731
1200,500,{(-0.24;-0.64);(-0.26;-0.66)},1669467
1200,1000,{(-1.72;1.2);(1;-1.2)},2732500
1200,1000,{(-0.7;0);(0.3;-1)},6717805
1200,1000,{(-0.4;-0.5);(0.1;-1)},4471783
1200,1000,{(-0.4;-0.6);(-0.2;-0.8)},2524722
1200,1000,{(-0.24;-0.64);(-0.26;-0.66)},2242728
1200,2000,{(-1.72;1.2);(1;-1.2)},5301610
1200,2000,{(-0.7;0);(0.3;-1)},12866646
1200,2000,{(-0.4;-0.5);(0.1;-1)},8703652
1200,2000,{(-0.4;-0.6);(-0.2;-0.8)},4576312
1200,2000,{(-0.24;-0.64);(-0.26;-0.66)},3288999
1200,8000,{(-1.72;1.2);(1;-1.2)},19485265
1200,8000,{(-0.7;0);(0.3;-1)},51048199
1200,8000,{(-0.4;-0.5);(0.1;-1)},32983796
1200,8000,{(-0.4;-0.6);(-0.2;-0.8)},16150586
1200,8000,{(-0.24;-0.64);(-0.26;-0.66)},9162146
1600,1,{(-1.72;1.2);(1;-1.2)},477089
1600,1,{(-0.7;0);(0.3;-1)},472858
1600,1,{(-0.4;-0.5);(0.1;-1)},469664
1600,1,{(-0.4;-0.6);(-0.2;-0.8)},471254
1600,1,{(-0.24;-0.64);(-0.26;-0.66)},469573
1600,10,{(-1.72;1.2);(1;-1.2)},573416
1600,10,{(-0.7;0);(0.3;-1)},627488
1600,10,{(-0.4;-0.5);(0.1;-1)},629859
1600,10,{(-0.4;-0.6);(-0.2;-0.8)},644091
1600,10,{(-0.24;-0.64);(-0.26;-0.66)},687964
1600,30,{(-1.72;1.2);(1;-1.2)},668122
1600,30,{(-0.7;0);(0.3;-1)},874764
1600,30,{(-0.4;-0.5);(0.1;-1)},821383
1600,30,{(-0.4;-0.6);(-0.2;-0.8)},808973
1600,30,{(-0.24;-0.64);(-0.26;-0.66)},995617
1600,80,{(-1.72;1.2);(1;-1.2)},888884
1600,80,{(-0.7;0);(0.3;-1)},1452696
1600,80,{(-0.4;-0.5);(0.1;-1)},1221384
1600,80,{(-0.4;-0.6);(-0.2;-0.8)},1056592
1600,80,{(-0.24;-0.64);(-0.26;-0.66)},1454969
1600,150,{(-1.72;1.2);(1;-1.2)},1218975
1600,150,{(-0.7;0);(0.3;-1)},2243602
1600,150,{(-0.4;-0.5);(0.1;-1)},1757487
1600,150,{(-0.4;-0.6);(-0.2;-0.8)},1364100
1600,150,{(-0.24;-0.64);(-0.26;-0.66)},1888269
1600,250,{(-1.72;1.2);(1;-1.2)},1628358
1600,250,{(-0.7;0);(0.3;-1)},3371755
1600,250,{(-0.4;-0.5);(0.1;-1)},2498549
1600,250,{(-0.4;-0.6);(-0.2;-0.8)},1759396
